file,orig_size,enc_size,compression_ratio,encode_time_s,decode_time_s,avg_code_len
4kimage.jpg,6220800,6159836,1.0099,1.242055,0.450737,0.990200
barras.png,893214,165099,5.4102,0.077431,0.011769,0.184837
dickens,10192446,10189230,1.0003,2.114320,0.747669,0.999684
mozilla,51220480,51220480,1.0000,10.754587,4.059080,1.150463
mr,9970564,9970564,1.0000,2.134191,0.809296,1.289220
nci,34393996,33119217,1.0385,6.236906,2.469919,0.962936
ooffice,6152192,6152192,1.0000,1.316871,0.507597,1.153885
osdb,10085684,10085684,1.0000,2.248679,0.800953,1.127343
Pessoa.txt,323,323,1.0000,0.000077,0.000026,1.000000
reymont,6627202,6616692,1.0016,1.329164,0.468570,0.998414
samba,21606400,19665952,1.0987,4.110339,1.419002,0.910191
sao,7251944,7251944,1.0000,1.528142,0.544724,1.008475
webster,41458703,41454100,1.0001,8.405405,2.942211,0.999889
x-ray,8474240,8474240,1.0000,1.737322,0.599088,1.004472
xml,5345280,5305424,1.0075,1.082256,0.382364,0.992544
